中药名,别名,英文名,药用部位,植物形态,产地分布,采收加工,药材性状,性味归经,功效与作用,临床应用,主要成分,配伍药方,药理研究,使用禁忌,图片路径,来源省份,药性,药味,归经
乌桕子 wujiuzi,乌桕种子、乌茶子、桕子、琼子。,暂无数据,大戟科植物乌桕Sapium sebiferum(L.)Roxb.的种子。,落叶乔木，高3～15米。树皮灰褐色，深纵裂，皮孔细点状；枝细长，灰白色。叶互生；叶片纸质，菱形至菱状卵形，长宽3～9厘米，顶端骤尖或尾状长尖，基部宽楔形或近圆形，全缘，上面绿色，稍有光泽，下面初时粉白色，后渐变黄色，秋时变红赭色；叶柄长2～7厘米，上部接近叶片基部具2圆形腺体。花单生，雌雄同株，无花瓣及花盘，穗状花序顶生，初时全部为雄花；后于花序基部生1～4朵雌花；雄花小，萼杯状，3浅裂，雄蕊2，稀3，花丝分离；雌花具短梗，着生处两侧各有近肾形腺体1，花萼3深裂，子房光滑，3室，花柱3。蒴果木质梨状球形，具尖头。种子近圆形黑色，外被白色蜡层。花期6～7月，果期10～11月。,生于郊野、路边、溪边、低山杂木林中；也有栽培。分布于广东、广西、江苏、山东、安徽、江西等地。,秋末、初冬采摘，鲜用或晒干。,椭圆形或半球形，长5～8毫米，直径4～6毫米，表面具白色或灰白色较厚的蜡层，种脊条形，稍隆起，基部有小种阜。除去蜡层，种皮黑褐色或棕褐色，坚硬，不易压碎。胚乳肥厚，类白色，富含脂肪油。气味均淡。,性凉，味甘。归肾经、肺经,杀虫、利水、通便。属杀虫止痒药。,用量3～5克，水煎服，外用适量，煎水洗或捣烂敷患处。外用可治脓疮、疥癣、湿疹、皮肤皲裂。内服可与逐水攻下药配伍用于水肿、便秘。,乌桕子油中含有强光学活性的三脂酸甘油酯。还含3-α-羟基-21αH-何帕-28-烯、21αH-何帕-28-烯-3-酮。,1.治竹木刺入肉：乌桕种子合冷饭粒捣烂敷患处，刺即逐渐浮出。(《泉州本草》),乌桕子有致炎等功效与作用：乌桕种子中佛波酯类在耳部试验中有致炎作用，激活哺乳动物脑部纯化的蛋白激酶C，有一定的促进肿瘤发生作用。,老弱体虚、孕妇及胃溃疡病患者忌服。有毒，中毒症状为恶心、呕吐、腹痛、腹泻等，严重者尚可出现四肢发麻、口唇发麻、面色苍白，心慌、胸闷等。,http://www.zhongyoo.com//uploads/allimg/2111/1-211112223542559.jpg,"广东,广西,江苏,山东,安徽,江西",性凉,味甘,"肾经,肺经"
一点红 yidianhong,红背叶、叶下红、羊蹄草、红背中、土公英。,Eiliae Herba,本品为菊科植物一点红Eilia sonchifolia (L.) DC.的全草。,一年生或多年生草本，高10～50厘米。茎直立，无毛或被疏毛，时有分枝。叶稍带肉质，茎下部叶片卵形，琴状分裂或具钝齿，长4～9厘米，上部叶较小，常抱茎，叶面绿色，叶背常紫红色。头状花序，长12～15毫米，具长柄，花枝通常二歧分枝，总苞绿色，圆柱状，基部稍膨大，苞片1列，约与花冠等长；花紫色，全为管状花，花冠顶端5齿裂。瘦果圆柱形，长约4毫米，有棱，冠毛白色，柔软。花期冬末至春初。,常生于山野、村边、路旁、田洼或旷野草地上。主产于广东、广西、福建、贵州、云南、湖南、江西等地。,夏、秋季采收，去除杂质，洗净，晒干。,本品长10～70厘米。根呈现圆锥状，多弯曲。茎呈圆柱形，黄绿色至棕褐色，直径可达0.5厘米，有分枝。体轻质脆，易折断，断面较平坦，髓部占较大部分，类白色。单叶互生，灰绿色至灰褐色，皱缩。茎下部叶卵形，琴状分裂或具钝齿，长4～10厘米，上部叶较小，无柄，常抱茎。头状花序，总苞圆柱状，基部稍膨大，瘦果圆柱形，长3～5毫米。气微，味淡。,性凉，味苦。归肺经、胃经、大肠经。,清热解毒，消炎，利尿。属清热药下分类的清热解毒药。,15～30克；外用适量，鲜品捣烂敷患处。用于肠炎、痢疾、尿路感染、上呼吸道感染、结膜炎、口腔溃疡、疮痈。,叶、茎、根中含微量氢氰酸，全草含黄酮化合物山柰酚-3-β-D-半乳糖苷、槲皮苷、芦丁、槲皮素以及熊果酸等。地上部分含千里光碱、β-谷甾醇、棕榈酸和蜂蜜酸等。,1.疖、蜂窝组织炎、脓肿、乳腺炎、甲沟炎：一点红、穿心莲、白花蛇舌草、鸡骨香、两面针各50克，共研末。高压消毒后，加凡士林至1000克，即成25%的药膏。敷患处，每日1次。,1.抑菌作用：一点红醇提和水提物对大肠杆菌、绿脓杆菌，福氏痢疾杆菌、伤寒杆菌、肠炎杆菌、金黄色葡萄球菌、乙型溶血性链球菌、肺炎双球菌等均具有抑菌作用。,过量使用易导致氢氰酸中毒。,http://www.zhongyoo.com//uploads/allimg/2111/1-21110R1291AL.jpg,"广东,广西,福建,贵州,云南,湖南,江西",性凉,味苦,"肺经,胃经,大肠经"
醉鱼草 zuiyucao,鱼尾草、醉鱼儿草、樚木、闹鱼花、痒见消、四方麻、阳包树、鱼鳞子、药杆子、驴尾草、羊尾巴、防痛树、鸡公尾、毒鱼藤、鲤鱼花草、药鳗老醋、野巴豆、老阳花、萝卜树子、药鱼子、土蒙花、花玉成、四棱麻、羊饱药、羊白婆、金鸡尾、洞庭草、白皮消、铁帚尾、红鱼波、红鱼皂、铁线尾、四季青、白袍花、糖茶、水泡木、雉尾花、楼梅草、鱼泡草、鱼藤草、洋波、鱼背子花、一串花、狗头鹰、红鱼鲄、鱼白子花、野刚子、鱼尾子、鱼花草、毒鱼草。,暂无数据,马钱科植物醉鱼草Buddleja lindleyana Fort.的茎叶。,落叶灌木，高1～3米，树皮茶褐色。小枝具四棱而略带翼状，幼时密被黄色星状毛及鳞片。叶对生，椭圆形或卵状披针形，长3～10厘米，宽1.5～3厘米，纸质，先端尖，基部楔形或钝圆，全缘或有疏锯齿，幼时背面密被黄绿色星状毛及鳞片。花序穗状，直立，长7～20厘米;花萼、花冠4裂，均有鳞片;花冠紫色，稍弯曲，冠筒内面白紫色，具细柔毛;雄蕊4，花丝极短，着生于花冠筒下部;子房上位，2室。蒴果矩圆形，被鳞片。种子无翅。花期4～8月，果期10～11月。,生于山坡、溪边的灌丛中，亦有栽培以供观赏。分布于长江以南大部分地区。,全年可采全株或叶，晒干。,小枝呈四棱柱形，表面茶褐色。幼枝具密被黄色星状毛及鳞片。叶对生，椭圆形或卵状披针形，表面浅黄棕色，先端尖，基部楔形或钝圆，全缘或有疏锯齿，质脆易碎。花序穗状，长7～20厘米，花冠4裂，呈暗棕色。气微，味微苦。,性温，味苦、辛。有小毒。,止咳定喘，活血祛瘀，驱虫。属驱虫药。,用量10～30克，水煎服。鲜草量可酌情加大。临床上可用于治疗感冒、咳嗽、哮喘以及跌打损伤，外伤出血。还可治疗钩虫病。,醉鱼草全株含醉鱼草苷、醉鱼草糖苷及多种黄酮类成分。,暂无数据,醉鱼草有某些杀昆虫和抑菌的功效与作用。,本种花叶有毒，如服用过量会引起头晕、呕吐、呼吸困难、四肢麻木和震颤。,http://www.zhongyoo.com//uploads/allimg/2111/1-21110H0132BJ.jpg,暂无数据,性温,"味苦,辛,有小毒",暂无数据
铁苋 tiexian,铁苋菜、六合草、血见愁、喷水草、人苋、海蚌含珠、撮斗撮金珠、半边珠、野黄麻、小耳朵草、痢疾草、猫眼草、茶丝黄、沙罐草、灯盏窝、田螺草、血布袋、七盏灯。,Herba Acalyphae,大戟科植物铁苋菜Acalypha australis L.及短穗铁苋菜A. brachystachya Hormen的干燥全草。,一年生草本，高30～50厘米。茎直立，分枝，被微柔毛。叶互生；叶柄长2～5厘米；叶片卵状菱形或卵状椭圆形，长2～7.5厘米，宽1.5～3.5厘米，先端渐尖，基部楔形或圆形，基出脉3条，边缘有钝齿，两面均粗糙无毛。穗状花序腋生；花单性，雌雄同株；通常雄花序极短，长2～10毫米，生于极小苞片内；雌花序生于叶状苞片内；苞片展开时肾形，长1～2厘米，合时如蚌，边缘有钝锯齿，基部心形；花萼四裂；无花瓣；雄蕊7～8枚；雌花3～5朵；子房被疏柔毛，3～4室；花柱羽状分裂至基部。蒴果小，三角状半圆形，被粗毛；种子卵形，长约2毫米，灰褐色。花期5～7月，果期7～10月。,生于旷野、丘陵、路边较湿润的地方。分布于长江、黄河中下游各地及东北、华北、华南、西南各地及台湾。,5～7月间采收，除去泥土，晒干或鲜用。,本品长20～40厘米，全体被灰白色细柔毛，粗茎近无毛。根多分枝，淡黄棕色，茎类圆柱形，有分枝，表面黄棕色或黄绿色，有纵条纹；质硬，易折断，断面黄白色，有髓或中空。叶片多皱缩，破碎，完整者展平后呈卵形卵状菱形，长2.5～5.5厘米，宽1.2～3厘米，黄绿色，边缘有钝齿，两面略粗糙。花序腋生，苞片三角状肾形，合时如蚌。蒴果小，三角状扁圆形，气微，味淡。,性凉，味苦、涩。归心经、肺经、大肠经、小肠经。,清热利湿，凉血解毒，消积。属止血药下属分类的凉血止血药。,内服：煎汤，10～15克；鲜品30～60克。外用：适量，水煎洗或捣敷。主治痢疾，泄泻，吐血，衄血，尿血，便血，崩漏，小儿疳积，痈疖疮疡，皮肤湿疹。,铁苋菜全草含没食子酸、铁苋碱，另含铁苋菜素、大黄素、p-谷固醇、毛地黄内酯、原儿茶酸、乙酸龙脑酯、柏木烷酮、香草酸等成分。,①治吐血：铁苋菜60克，淡竹叶15克。水煎服。（《江西草药》）,铁苋具有抗菌、平喘的功效与作用。,老弱气虚者慎服，孕妇禁服。,http://www.zhongyoo.com//uploads/allimg/2111/1-21110G5535X61.jpg,"华北,华南,台湾",性凉,"味苦,涩","心经,肺经,大肠经,小肠经"
八角莲 bajiaolian,八角连、金魁莲、旱八角、叶下花、一把伞、马眼莲、独叶一枝花、八角盘、六角莲、独脚莲、独角莲、八角金盘、山荷叶。,Rhizoma dysosmatis,本品为小檗科植物八角莲Dysosma versipellis(Hance)M.Cheng ex Ying、六角莲D.pleiantha(Hance)Woods.[D.hispida(Hao)Chun]和川八角莲D.veithchii(Hemsl. et wils.)Fu ex Ying的根及根茎。,八角莲：多年生草本，植株高40～150厘米。根状茎粗状，横生，多须根；茎直立，不分枝，无毛，淡绿色。茎生叶2枚，薄纸质，互生，盾状，近圆形，直径达30厘米，4～9掌状浅裂，裂片阔三角形，卵形或卵状长圆形，长2.5～4厘米，基部宽5～7厘米，先端锐尖，不分裂，上面无毛，背面被柔毛，叶脉明显隆起，边缘具细齿；下部叶的柄长12～25厘米，上部叶柄长1～3厘米。花梗纤细、下弯、被柔毛；花深红色，5～8朵簇生于离叶基部不远处，下垂；萼片6，长圆状椭圆形，长0.6～1.8厘米，宽6～8毫米，先端急尖，外面被短柔毛，内面无毛；花瓣6，勺状倒卵形，长约2.5厘米，宽约8毫米，无毛；雄蕊6，长约1.8厘米，花丝短于花药，药隔先端急尖，无毛；子房椭圆形，无毛，花柱短，柱头盾状。浆果椭圆形，长约4厘米，直径约3.5厘米。种子多数。花期3～6月，果期5～9月。六角莲与八角莲的区别为：叶通常2片，对生，叶片长圆形或近圆形，6～9浅裂，裂片宽三角状卵形。花生于两茎生叶柄交叉处。川八角莲与八角莲的区别：茎多汁，基部被棕色大鳞片。叶互生，纸质，2片；叶片圆形，直径约20厘米，6-8掌状深裂几达中部，裂片楔状矩圆形，先端常3裂，小裂片三角形，叶中部红棕色，下面叶脉有蔬柔毛，后变无毛。花2-6朵，丛生于茎顶叶柄分叉处的腋间。花期4～6月，果期8-10月。,生于山谷山坡杂木林中阴湿地方。陕西、安徽、浙江、江西、福建、台湾、湖北、湖南、广西、广东、四川、贵州、西藏等省区。,根茎洗净泥沙，晒干，切断备用。亦可鲜用。,八角莲呈扁长的结节状，长6～15厘米，直径2～4厘米。表面黄棕色至棕褐色，上面有凹陷的茎基痕，陷窝略重叠，连珠状排列，茎基痕边缘有环状皱纹，底部可见筋脉点突起；下面略平坦，残留须根痕。质硬而脆，结节处易折断，断面淡红棕色或黄白色。气微，味苦。,性凉，味苦、辛，有毒。归肺经、肝经。,化痰散结，祛瘀止痛，清热解毒。属拔毒生肌药。,用量：水煎服，3～9克；外用，捣敷或磨涂、醋调敷患处。主治咳嗽、咽喉肿痛、瘰疬、瘿瘤、痈肿、疔疮、毒蛇咬伤、跌打损伤，痹证。,根和根茎含抗癌成分鬼臼毒素和脱氧鬼臼毒素。此外，还分离出黄芪苷、金丝桃苷、槲皮索、山柰酚和谷甾醇。,①治无名肿毒：八角莲、野葵、蒲公英各等分，捣烂，敷患处。(《贵州草药》),八角莲有兴奋心肌的功效与作用；扩张血管作用；全草中含树脂，能引起猫的吐、泻、死亡。,孕妇禁服，体质虚弱者慎服。,http://www.zhongyoo.com//uploads/allimg/1805/1-1Q1211S523462.jpg,"陕西,安徽,浙江,江西,福建,台湾,湖北,湖南,广西,广东,四川,贵州,西藏",性凉,"味苦,辛,有毒","肺经,肝经"
海马 haima,龙落子、水马、马头鱼、龙落子鱼、鰕姑、对海马。,暂无数据,"来源于海龙科动物线纹海马Hippocampus kelloggi Jordan et Sanyder、刺海马H histrix Kaup、大海马Hkuda Bleeker、三斑海马Htrim,acutatus Leach.和小海马H japonicus Kaup的全体。",线纹海马：体长30～33厘米。体侧扁，腹部凸出。躯干部七棱形；尾部四棱形，卷曲。头冠短小，尖端有5个短小的棘，略向后弯曲，前方有板状隆起物。吻细长管状。眼较大，侧位而高，有明显眼棘。口小，端位，无牙。鳃盖突出，无放射状纹。肛门位于躯干第11节下方。体无鳞，为骨环所包。无腹鳍及尾鳍。全体淡黄白色，体侧有白色线状斑点。其余4种与线纹海马近似。,5种海马均生活于近海海藻茂盛的水域中。线纹海马、刺海马和三斑海马分布于东海及南海，大海马分布于南海，小海马在我国各海域均有分布。,全年可捕捉。捕得后，将尾盘卷，晒干。,呈马头、蛇尾、瓦楞身。吻长，两眼深陷，躯干七棱形，尾部四棱形而多弯曲，布满骨质环节，背面有棘突。体轻，骨质，坚硬。气微腥，味微咸。线纹海马：表面黄白色，体上节纹间有许多白色短线纹。刺海马：体背部棘刺明显；大海马体粗长，表面黑褐色。三斑海马：体背的第1、4、7节有黑色圆点。小海马体短小，表面黑褐色。,性温，味甘、咸。归肝经、肾经。,温肾壮阳、散结消肿。属补虚药下属分类的补阳药。,用量3～9克，煎服、或入丸、散；外用适量，研末敷患处。用治阳痿、遗尿、肾虚作喘、癥瘕积聚、跌扑损伤；外治痈肿疔疮。,海马含甾体化合物如胆固醇等；富含蛋白质，含量高达70%以上，以三斑海马最高；另含苏氨酸、缬氨酸、蛋氨酸等17种氨基酸及13种脂肪酸。,①治气喘：海马3克，当归6克。炖鸡食或单用海马焙黄研末，水冲服。（《青岛中草药手册》）,海马的乙醇提取物具有性激素样作用，可诱生及延长雌鼠和小鼠动情期，对去势小鼠可出现动情期。此外，海马水、醇提取物还具有延缓衰老、促进免疫功能和抗血栓、抗疲劳、抗肿瘤的功效与作用。,孕妇及阴虚阳亢者禁服。,http://www.zhongyoo.com//uploads/allimg/140309/1-1403091529502E.jpg,暂无数据,性温,"味甘,咸","肝经,肾经"
九节菖蒲 jiujiechangpu,小菖蒲、外菖蒲、节菖蒲、鸡爪莲。,Rhizoma Anemones Altaicae,为毛莨科植物阿尔泰银莲花Anemone altaica Fisch.ex C.A.Mey.的干燥根茎。,多年生草本，高11～23厘米。根茎横生，圆柱形，长约4厘米，直径2～4毫米，节间长3～5毫米，有许多须根。叶柄长4～10厘米，无毛；三出复叶，叶片轮廓宽卵形，长2～4厘米，3全裂，中央全裂片又3裂，边缘有缺刻状牙齿，有细柄，侧生全裂片不等2全裂。花葶1，苞片3，轮生，叶状，中上部边缘有不整齐锯齿，具柄。花两性，单朵顶生；花梗长2. 5～4厘米，被灰色柔毛；萼片7～10，花瓣状，白色，倒卵形或长圆形，长1.5～2厘米，宽3.5～7毫米，先端圆；花瓣无；雄蕊多数；心皮20～30。瘦果卵球形，有白色柔毛。花期3～5月，果期4～7月。,生于海拔1200～1800米的山地沟谷边或灌木丛中。分布于山西南部、河南西部、湖北西北部、陕西南部。,夏季采挖，除去泥沙，干燥，再除去须根及杂质。,九节菖蒲略呈纺锤形，微弯曲，长1～4厘米，直径0.3～0.5厘米。表面棕黄色至暗棕色，具多数半环状突起的节(鳞叶痕)，斜向交错排列，节上有1～3个突起的根痕。质硬而脆，易折断，断面平坦，白色，有粉性，可见淡黄色小点(维管束)6～9个，排列成环。气微，味微酸。,性温，味辛。归心经、肝经、胃经。,开窍化痰，醒脾安神。属开窍药。,内服：煎汤，1.5～6克；或入丸、散；或鲜品捣汁服。外用：煎水洗；或鲜品捣敷；或研末调敷。用于热病神昏，癫痫，耳鸣耳聋，胸闷腹胀，食欲不振；外治痈疽疮癣。,"九节菖蒲根茎含脂肪酸：棕榈酸，琥珀酸，5-羟基乙酰丙酸，十六烷酸和9，12-十八碳二烯酸，又含β-谷甾醇，白头翁素，(5R，8R)1，6，9，13-四氧双螺-(4，2，4，2)-十四烷-2, 10-二酮。另含挥发油成分，相对含量较高的有雪松醇，β-桉叶醇，榄香醇。",①治小儿急惊风，高热抽搐：鲜九节菖蒲9克，捣烂滤汁，加姜汁数滴灌服。(《陕甘宁青中草药选》),1.镇静作用：九节菖蒲水煎醇沉液7. 418g/kg(1/5 LD₅₀)，3.709g/kg(1/10 LD₅₀)小鼠腹腔注射给药，对硫贲妥钠40mg/kg的催眠作用有明显的加强，呈协同作用。2.镇痛作用：皮下注射九节菖蒲用热板法在给药后60分钟可延长小鼠反应时间。3.对胃电活动的抑制作用：九节菖蒲水煎剂对大鼠胃电活动有明显的抑制的功效与作用，而该作用在阻断A、B受体后不受影响。,阴虚阳亢、烦躁汗多、精滑者慎服。,http://www.zhongyoo.com//uploads/allimg/2109/1-210Z5111550348.jpg,"河南,湖北,陕西",性温,味辛,"心经,肝经,胃经"
黄芪 huangqi,黄耆、木耆、绵黄芪、王孙、箭芪、戴糁、戴椹、独椹、芰草、蜀脂、百本、百药绵、独根。,Astmgali Radix。,豆科植物蒙古黄芪Astragalus membranaceus Bge. var.mongholicus(Bge.) Hsiao和膜荚黄芪A.membranaceus (Fisch.) Bge.的根。,蒙古黄芪：多年生草本。主根长而粗壮，条较顺直。奇数羽状复叶，小叶12～18对，小叶片下面被柔毛。总状花序腋生，花冠黄色至淡黄色，雄蕊10枚，二体。荚果膨胀，无毛。膜荚黄芪：形态上和上种极相似，主要区别为小叶6～13对，小叶片卵状披针形或椭圆形，长7～30毫米，宽4～10毫米；花冠淡黄色，长不及2厘米，子房被疏柔毛。荚果卵状长圆形，长2～2.5厘米，先端有喙，被黑色短毛。,蒙古黄芪生于向阳草地及山坡；膜荚黄芪生于林缘、灌丛、林间草地及疏林下。分布于黑龙江、吉林、辽宁、河北、内蒙古等地。,野生黄芪春秋两季均可采挖，除净泥土及须根，切去根头，晒至七八成干，按粗细、长短不同分级。栽培黄芪应3年以后采收。,蒙古黄芪：表面灰黄色，栓皮不易脱落。质硬而韧，断面纤维性并显粉性。皮部黄白色，木部淡黄色。气微，味微甜，有豆腥味。膜荚黄芪：表面灰黄色、黄棕色，质硬，较难折断。,性微温，味甘。归脾经、肺经。, 补气升阳，固表止汗，利水消肿，生津养血，行滞通痹，托毒排脓，敛疮生肌。属补虚药下属分类的补气药。,用量9～30克，煎汤内服；或入丸、散、膏剂。治疗气短心悸、乏力、虚脱、自汗、盗汗、体虚浮肿、慢性肾炎、久泻、脱肛、子宫脱垂、痈疽难溃、疮口久不愈合、小儿支气管哮喘、慢性乙型肝炎、慢性肾炎和病毒性心肌炎。补气宜炙用，止汗、利尿、托毒排脓生肌宜生用。,黄芪主要含黄芪甲苷、黄芪苷、毛蕊异黄酮葡萄糖苷、毛蕊异黄酮、异黄芪苷Ⅰ、异黄芪苷Ⅱ、三萜皂苷、黄酮及多糖等成分。,①治表虚自汗：防风30克，黄芪(蜜炙)、白术各60克。每服9克，水一钟半，加大枣一枚，煎至七分，去滓，食后热服：(《医方类聚》引《究原方》玉屏风散),黄芪对核酸代谢有促进的功效与作用；增强造血功能；改善心肌功能，对抗心肌梗死；具有抗氧化、抗病毒、抗癌、改善肾功能和肾组织病理改变等。水煎剂具调节免疫、抗衰老和抗应激作用。毒性：煎剂LDso为(40±5)克/千克。,表实邪盛、湿阻气滞、肠胃积滞、阴虚阳亢、痈疽初起或溃后热毒尚盛者，均禁服。,http://www.zhongyoo.com//uploads/allimg/130717/1-130GG5220W54.jpg,"黑龙江,吉林,辽宁,河北,内蒙古",性微温,味甘,"脾经,肺经"
防风草 fangfengcao,广防风、土防风、抹草、秽草、落马衣、假紫苏、马衣叶、豨莶草、四方茎、臭草、臭苏头、鸭儿蔑、大篾草、大羊古骚。,Epimeredi Indian Herb,唇形科植物广防风Epimeredi indica (L.) Rothm的地上部分。,一至二年生直立草本，高1～2米。茎方形，多分枝，密被白色茸毛。叶对生，草质，阔卵形至卵形，先端渐尖或短尖，边缘有不规则的齿，基部近圆形，两面均有茸毛，具细小腺点。花轮生，下部为腋生，上部可排到顶端而成长总状花序；萼管状，5裂，裂片三角状披针形，内外均有短毛；花冠管状，粉红色，2唇，5裂齿，上唇直立，全缘，下唇阔，扩展，内面有短毛；雄蕊4，突出，花药连贴；雌蕊1，柱头2裂。小坚果圆形，黑褐色，平滑。花期9～10月，果期12月至翌年1月。,野生于路旁、荒地、村边草丛中。分布于广东、广西、云南、贵州等地。,夏、秋季采收。割取地上部分，晒干。,全草长60～180厘米，全体被白色短粗毛。茎四棱形，具明显纵沟，有分枝，表面灰绿色或棕灰色，质稍脆，断面纤维性，中央有近方形的白色髓。叶对生，皱缩卷曲，完整叶片展平后呈阔卵形或卵形；叶上表面灰棕色，叶下表面灰绿色，边缘具疏锯齿，质脆，易碎；有时可见叶腋残留钟形灰绿色花萼。气香浊，味微辛苦。,性温，味辛、苦。归膀胱经、肝经、肾经。,祛风、除湿、解毒、止痛。属解表药下属分类的辛温解表药。,用量9～15克，煎服；外用适量，煎洗或捣敷。用治感冒身热、呕吐、腹痛、筋骨疼痛、疮疡、湿疹。,防风草含卵防风二内酯、4，5-环氧卵防风二内酯、防风酸、4，7-氧环防风酸、4-亚甲基-5-羟基卵防风二内酯。,治痈肿：鲜防风草二两，捣烂绞汁调黄酒炖服，渣外敷；或用鲜防风草、两，鲜马鞭草三钱，水煎调酒服。(《福建中草药》),防风草所含的大环三萜类物质体外试验具有抑制KB细胞增长的功效与作用。3种防风草内酯ovatodiolide、4，5-epoxy-ovatodiolide和anisomelic acid对麻醉狗的降压作用、对血管紧张素酶(ACE)的抑制作用、对离体蛙心脏作用以及对牛蛙心房单细胞钙离子流作用的试验表明：后两种物质在剂量为60μm和600μm时对ACE有微弱抑制作用，但对血压没有影响；静脉注射前一种物质具降压作用，并可抑制离体蛙心收缩。3种化合物均可抑制钙离子流动。,尚不明确。,http://www.zhongyoo.com//uploads/allimg/2110/1-2110302020391D.jpg,"广东,广西,云南,贵州",性温,"味辛,苦","膀胱经,肝经,肾经"
豆蔻 doukou,白豆蔻、白蔻、圆豆蔻、白蔻仁、多骨、壳蔻、扣米。,Amomi Fructus Rotundus,姜科植物白豆蔻Amomum kravanh Pierre ex Gagnep.或爪哇白豆蔻Amomum compactum Soland ex Maton.的成熟果实。按产地不同分为“原豆蔻”和“印尼白蔻”。,多年生丛生草本。根茎匍匐，粗壮。叶2列，叶鞘边缘纸质或膜质，无毛；叶舌先端圆形，无毛；几无叶柄；叶片披针形，先端尾尖，基部楔形，两面无毛。花序从根茎上抽出，常半掩于土中；花序倒卵形至倒锥形，土黄色，先端圆形至平截；苞片椭圆形，纸质，边缘较薄，有疏长柔毛，表面有内凹的纵细脉10～15条，先端钝；花着生于苞腋；小苞片白色，管状；萼管状，白色，外被微毛，先端3齿裂；花冠管较萼管略长，白色，狭椭圆形；唇瓣长圆形至倒卵形，白色，先端圆形或近平截，中肋略加厚，先端常呈橘黄色；侧生退化雄蕊，钻状；花丝宽而有沟，药隔附属物3裂；蜜腺2，半圆柱形；子房下位，被毛。蒴果土黄色或间有棕红色，近球形，有3棱，被柔毛，先端钝尖，花被宿存。种子多角形，棕红色，芳香。花期全年，盛花期4～6月，果期7～8月。,生于沟谷或林下阴湿处。我国多栽培于疏林或阴棚下。原产于印度尼西亚。现我国海南有栽培。,多于7～8月果实即将黄熟但未开裂时采集果穗，去净残留的花被和果柄后晒干；或再用硫黄熏制漂白，使果皮呈黄白色。,类球形。表面黄白色至淡黄棕色，有较深的纵向槽纹，顶端有突起的花柱基，基部有凹下的果柄痕，两端均具有浅棕色茸毛。果皮体轻，质脆，易纵向裂开。种子呈不规则多面体，背面略隆起，表面暗棕色，有皱纹，并被有残留的假种皮。气芳香，味辛凉略似樟脑。印尼白蔻个略小，表面黄白色，有的微显紫棕色，果皮较薄，种子瘦瘪，气味较弱。,性温，味辛。归脾经、胃经。,化湿消痞、行气温中、开胃消食。属化湿药。,用量3～6克，入煎剂宜后下；或入丸、散。用治湿浊中阻、不思饮食、湿温初起、胸闷不饥、寒湿呕逆、胸腹胀痛、食积不消。,豆蔻主含挥发油，另含桉油精、a-蒎烯、p-蒎烯、樟脑、月桂烯、丁香烯等。,①治胃腹胀满，呕吐：白豆蔻3克，藿香6克，半夏、陈皮各4.5克，生姜6克。水煎服。(《全国中草药汇编》),豆蔻对豚鼠实验性结核能增强小剂量双氢链霉素的治疗作用。,阴虚血燥者禁服。,http://www.zhongyoo.com//uploads/allimg/131101/1-13110111221EJ.jpg,海南,性温,味辛,"脾经,胃经"
地稔根 direngen,地菍根、山地菍根、山地稔根、铺地锦根、地茄根、火炭泡。,Twelve stamen Melastoma Herb,野牡丹科植物地菍Melastoma dodecandrum Lour.的根。,披散的匍匐状亚灌木。茎多分枝，近地面匍匐生长，长10～30厘米。叶对生，卵形、倒卵形或椭圆形，长1～3厘米，宽8～20毫米，顶端短尖，基部浑圆，有3～5条主脉，只在叶面边缘和叶背脉上有稀疏的粗毛；叶柄长2～4毫米。夏、秋季开花；花两性，1～3朵生于枝端，直径约2.5厘米；萼管长约5毫米，被短粗毛，萼片披针形，比萼管短；花瓣5片，倒卵形，紫红色，长1～1.4厘米；雄蕊10枚，花药顶孑L开裂，有延长且2裂的药隔，子房下位，5室。浆果圆球形，直径约7毫米，成熟时紫黑色，被粗毛。,生于山野草坡、林缘及灌木丛中的酸性土上。分布于广东及长江流域以南等地。,全年可采收。挖取根部，洗净，切短段，晒干。,地菍根呈不规则圆柱形短段，常弯曲，有分枝，长3～6厘米，直径4～12毫米，表面灰白色或黄白色，光滑或有细皱纹，栓皮剥落后呈淡红色。质坚硬，不易折断，断面淡红棕色，略显放射状纹理，中心有红棕色小髓。气微，味淡微涩。,性平，味微甘、苦。归肺经、脾经、肝经。,活血通络、收敛止血。属止血药分类下的收敛止血药。,用量5～30克，煎服；或捣汁。外用：煎汤洗或捣敷。用治风湿痹痛、腰腿痛、产后腹痛、崩漏带下、外伤出血。,含酚类、鞣质、氨基酸及糖类。,1.治久嗽不止：地菍根、百合、桑根各30克，猪肺1只煎服。(《闽东本草》),地稔根煎剂在体外对伤寒、痢疾杆菌及金黄色葡萄球菌有抑制的功效与作用。,孕妇慎用。,http://www.zhongyoo.com//uploads/allimg/131031/1-13103110415GI.jpg,广东,性平,"味微,甘,苦","肺经,脾经,肝经"
